,Epitope IRI,Object Type,Description,Epitope Modified Residue(s),Epitope Modification(s),Starting Position,Ending Position,Non-peptidic epitope IRI,Epitope Synonyms,Antigen Name,Antigen IRI,Parent Protein,Parent Protein IRI,Organism Name,Organism IRI,Parent Organism,Parent Organism IRI,Epitope Comments,Epitope Relationship,Object Type.1,Description.1,Starting Position.1,Ending Position.1,Non-peptidic object IRI,Synonyms,Antigen Name.1,Antigen IRI.1,Parent Protein.1,Parent Protein IRI.1,Organism Name.1,Organism IRI.1,Parent Organism.1,Parent Organism IRI.1,link_url_41
131,134625,Non-peptidic,"3,6-di-O-methyl-beta-D-glucopyranosyl-(1->4)-alpha-L-rhamnopyranose",,,,,http://purl.obolibrary.org/obo/CHEBI_59575,"3,6-di-O-methyl-beta-D-glucopyranosyl-(1->4)-alpha-L-rhamnopyranose, 3,6-di-O-methyl-beta-D-Glc-(1->4)-alpha-L-Rha, 3,6-di-O-methyl-beta-D-Glcp-(1->4)-alpha-L-Rhap, 3,6-di-O-methyl-beta-D-glucopyranosyl-(1->4)-6-deoxy-alpha-L-mannopyranose, 3,6-di-O-methyl-beta-D-glucosyl-(1->4)-alpha-L-rhamnose, 4-O-(3,6-di-O-methyl-beta-D-glucopyranosyl)-alpha-L-rhamnopyranose, 6-deoxy-4-O-(3,6-di-O-methyl-beta-D-glucopyranosyl)-alpha-L-mannopyranose",phenolic glycolipid-1,http://purl.obolibrary.org/obo/CHEBI_59104,,,Mycobacterium leprae,http://purl.obolibrary.org/obo/NCBITaxon_1769,Mycobacterium leprae,http://purl.obolibrary.org/obo/NCBITaxon_1769,,,,,,,,,,,,,,,,,G68562HM 
132,134627,Non-peptidic,beta-D-Galp-(1->3)-D-GalpNAc,,,,,http://purl.obolibrary.org/obo/CHEBI_546807,"beta-D-galactopyranosyl-(1->3)-2-acetamido-2-deoxy-D-galactopyranose, (Gal)1 (GalNAc)1, 2-(acetylamino)-2-deoxy-3-O-beta-D-galactopyranosyl-D-galactopyranose, 2-acetamido-2-deoxy-3-O-beta-D-galactopyranosyl-D-galactopyranose, beta-D-Gal-(1->3)-D-GalNAc, beta-D-Galactopyranosyl-(1->3)-N-acetyl-D-galactosamine, beta-D-galactosyl-(1->3)-N-acetyl-D-galactosamine, beta-D-galactosyl-3-N-acetyl-D-galactosamine, beta-D-Galp-(1->3)-D-GalpNAc, Galbeta1-3GalNAc, Galbeta1->3GalNAc, TF epitope, Thomsen-Friedenreich epitope, WURCS=2.0/2,2,1/[a2112h-1x_1-5_2*NCC/3=O][a2112h-1b_1-5]/1-2/a3-b1, TF epitope",O-glycan,http://purl.obolibrary.org/obo/CHEBI_59521,,,Helicobacter pylori,http://purl.obolibrary.org/obo/NCBITaxon_210,Helicobacter pylori,http://purl.obolibrary.org/obo/NCBITaxon_210,The T antigen (B-D-Galp-(1-3)-a-D-GalNacp) is the carbohydrate moiety in glycoprotein(s) present in human carcinomas. In Helicobacter pylori extracts the T antigen is detected in ~68 and ~58 kDa protein bands in a western blot.,,,,,,,,,,,,,,,,G78436BB 
133,134833,Non-peptidic,beta-D-Glcp(1->6)-alpha-D-GlcpNAc-(1->3)-alpha-L-QuipNAc-(1->3)-beta-D-GlcpNAc,,,,,http://purl.obolibrary.org/obo/CHEBI_59395,"beta-D-glucopyranosyl-(1->6)-2-acetamido-2-deoxy-alpha-D-glucopyranosyl-(1->3)-2-acetamido-2,6-dideoxy-alpha-L-glucopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranose, beta-D-Glc(1->6)-alpha-D-GlcNAc-(1->3)-alpha-L-QuiNAc-(1->3)-beta-D-GlcNAc, beta-D-glucopyranosyl-(1->6)-2-acetamido-2-deoxy-alpha-D-glucopyranosyl-(1->3)-2-acetamido-2-deoxy-alpha-L-quinovopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranose, beta-D-glucosyl-(1->6)-N-acetyl-alpha-D-glucosaminyl-(1->3)-N-acetyl-alpha-L-quinovosaminyl-(1->3)-N-acetyl-beta-D-glucosamine, Glcbeta1-6GlcNAcalpha1-3QuiNAcalpha1-3GlcNAcbeta",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Proteus vulgaris Strain 5/43,https://ontology.iedb.org/ontology/ONTIE_0001296,Proteus vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_585,,,,,,,,,,,,,,,,,G92568UR 
134,135391,Non-peptidic,phosphatidyl-L-serine,,,,,http://purl.obolibrary.org/obo/CHEBI_18303,"phosphatidyl-L-serines, Phosphatidylserine, PS, Ptd-L-Ser",,,,,,,,,,,,,,,,,,,,,,,,,G45034IQ 
135,135394,Non-peptidic,betaD-GlcN4P-(1->6)-alpha-D-GlcN1P,,,,,http://purl.obolibrary.org/obo/CHEBI_59421,"2-amino-2-deoxy-4-O-phosphono-beta-D-glucopyranosyl-(1->6)-2-amino-2-deoxy-1-O-phosphono-alpha-D-glucopyranose, 2-amino-6-O-(2-amino-2-deoxy-4-O-phosphono-beta-D-glucopyranosyl)-2-deoxy-1-O-phosphono-alpha-D-glucopyranose, 4-O-phosphono-beta-D-glucosaminyl-(1->6)-1-O-phosphono-alpha-D-glucosamine, beta-GlcN-4P-(1-6)-alpha-GlcN-1P, beta-GlcN-4P-(1->6)-alpha-D-GlcN-1P, GlcN4Pbeta1-6GlcN1Palpha",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Escherichia coli J-5,https://ontology.iedb.org/ontology/ONTIE_0001308,Escherichia coli,http://purl.obolibrary.org/obo/NCBITaxon_562,,,,,,,,,,,,,,,,,G99225ZM 
136,135509,Non-peptidic,alpha-D-Galp-(1->2)-[alpha-D-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap,,,,,http://purl.obolibrary.org/obo/CHEBI_59400,"3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-6-deoxy-alpha-L-mannopyranose, Abealpha1-3(Galalpha1-2)Manalpha1-4Rhaalpha, alpha-D-Abe-(1->3)-[alpha-D-Gal-(1->2)]-alpha-D-Man-(1->4)-alpha-L-Rha, alpha-D-Abep-(1->3)-[alpha-D-Galp-(1->2)]-alpha-D-Manp-(1->4)-alpha-L-Rhap, alpha-D-abequopyranosyl-(1->3)-[alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranose, alpha-D-abequosyl-(1->3)-[alpha-D-galactosyl-(1->2)]-alpha-D-mannosyl-(1->4)-alpha-L-rhamnose, G(A)MR, S. thymurium SH 4809 O-PS tetrasaccharide",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Salmonella,http://purl.obolibrary.org/obo/NCBITaxon_590,Salmonella,http://purl.obolibrary.org/obo/NCBITaxon_590,"The tetrasaccharide repeating unit is branched and has the structure: {->3)-alpha-D-Galp-(1->2)-[3,6-dideoxy-alpha-D-hexose-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap(1->}.",,,,,,,,,,,,,,,,G32073VJ 
137,135510,Non-peptidic,PIM6,,,,,http://purl.obolibrary.org/obo/CHEBI_59636,"1-[(hydroxy{[(1R,2R,3S,4R,5R,6R)-3,4,5-trihydroxy-2-{[alpha-D-mannopyranosyl-(1->2)-alpha-D-mannopyranosyl-(1->2)-alpha-D-mannopyranosyl-(1->6)-alpha-D-mannopyranosyl-(1->6)-alpha-D-mannopyranosyl]oxy}-6-(alpha-D-mannopyranosyloxy)cyclohexyl]oxy}phosphoryl)oxy]-3-(palmitoyloxy)propan-2-yl 9-methylnonadecanoate, PIM6",lipoarabinomannan,http://purl.obolibrary.org/obo/CHEBI_59524,,,Mycobacterium leprae,http://purl.obolibrary.org/obo/NCBITaxon_1769,Mycobacterium leprae,http://purl.obolibrary.org/obo/NCBITaxon_1769,"The PIM<sub>6</sub> component of lipoarabinomannan of the cell wall of mycobacterium species can have other lipidic moieties. In this study, upon deacylation of M.leprae PIM palmitic and tuberculostearic acids are said to be released, so those lipids are depicted in the structure.",,,,,,,,,,,,,,,,G23789CG 
138,135511,Non-peptidic,beta-D-Galp-(1->3)-[alpha-L-Fucp-(1->4)]-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-Glcp,,,,,http://purl.obolibrary.org/obo/CHEBI_59580,"alpha-L-fucopyranosyl-(1->4)-[beta-D-galactopyranosyl-(1->3)]-beta-D-glucopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-galactopyranosyl-(1->4)-beta-D-glucopyranose, 6-deoxy-alpha-L-galactopyranosyl-(1->4)-[beta-D-galactopyranosyl-(1->3)]-beta-D-glucopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-galactopyranosyl-(1->4)-beta-D-glucopyranose, alpha-L-fucosyl-(1->4)-[beta-D-galactosyl-(1->3)]-beta-D-glucosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucose, beta-D-Gal-(1->3)-[alpha-L-Fuc-(1->4)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc, Fucalpha1-4(Galbeta1-3)Glcbeta1-3GalNAcbeta1-4Glc, Galbeta1-3(Fucalpha1-4)Glcbeta1-3GalNAcbeta1-4Glc, lacto-N-fucopentose II",,,,,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,,,,,,,,,,,,,,,,,G43439NP 
139,135513,Non-peptidic,3-O-alpha-abequopyranosyl-alpha-D-mannopyranose,,,,,http://purl.obolibrary.org/obo/CHEBI_59867,"3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-alpha-D-mannopyranose, 3-O-(3,6-dideoxy-alpha-D-xylo-hexopyranosyl)-alpha-D-mannopyranose, 3-O-alpha-Abe-alpha-D-Man, 3-O-alpha-Abep-alpha-D-Manp, Abealpha1-3Manalpha, alpha-Abe-alpha-(1->3)-D-Man, alpha-Abep-(1->3)-alpha-D-Manp, alpha-abequopyranosyl-(1->3)-alpha-D-mannopyranose, alpha-abequosyl-(1->3)-alpha-D-mannose, S. thyphimurium O-antigen 4 determinant",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Salmonella enterica subsp. enterica serovar Typhimurium,http://purl.obolibrary.org/obo/NCBITaxon_90371,Salmonella enterica,http://purl.obolibrary.org/obo/NCBITaxon_28901,,,,,,,,,,,,,,,,,G32988JM 
140,135514,Non-peptidic,alpha-D-Galp-(1->2)-[alpha-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap-(1->3)-alpha-D-Galp-(1->2)-[alpha-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap,,,,,http://purl.obolibrary.org/obo/CHEBI_59868,"3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranose, [(->3)-alpha-D-Gal-(1->2)-[alpha-D-Abe-(1->3)]-alpha-D-Man-(1->4)-alpha-L-Rha-(1->)]2, [(->3)-alpha-D-Galp-(1->2)-[alpha-D-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap-(1->)]2, alpha-D-Gal-(1->2)-[alpha-Abe-(1->3)]-alpha-D-Man-(1->4)-alpha-L-Rha-(1->3)-alpha-D-Gal-(1->2)-[alpha-Abe-(1->3)]-alpha-D-Man-(1->4)-alpha-L-Rha, S. typhimurium O-PS octasaccharide, Salmonella typhimurium O-PS octasaccharide",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Salmonella enterica subsp. enterica serovar Typhimurium,http://purl.obolibrary.org/obo/NCBITaxon_90371,Salmonella enterica,http://purl.obolibrary.org/obo/NCBITaxon_28901,,,,,,,,,,,,,,,,,G56937DQ 
141,135607,Non-peptidic,alpha-D-Ko-(2->4)-alpha-D-Kdo,,,,,http://purl.obolibrary.org/obo/CHEBI_59344,"D-glycero-alpha-D-talo-oct-2-ulopyranonosyl-(2->4)-3-deoxy-alpha-D-manno-oct-2-ulosonic acid, 3-deoxy-4-O-D-glycero-alpha-D-talo-oct-2-ulopyranonosyl-alpha-D-manno-oct-2-ulopyranosonic acid, alpha-Ko-(2->4)-alpha-Kdo, Ko(2-4)Kdo, Ko-(2->4)-Kdo",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Burkholderia,http://purl.obolibrary.org/obo/NCBITaxon_32008,Burkholderia,http://purl.obolibrary.org/obo/NCBITaxon_32008,,,,,,,,,,,,,,,,,G95969AX 
142,135608,Non-peptidic,alpha-D-Kdo-(2->4)-alpha-D-Ko,,,,,http://purl.obolibrary.org/obo/CHEBI_59347,"3-deoxy-alpha-D-manno-oct-2-ulopyranonosyl-(2->4)-D-glycero-alpha-D-talo-oct-2-ulopyranosonic acid, 4-O-(3-deoxy-alpha-D-manno-oct-2-ulopyranonosyl)-D-glycero-alpha-D-talo-oct-2-ulopyranosonic acid, Kdo(2-4)Ko, Kdo(2->4)Ko",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Acinetobacter haemolyticus,http://purl.obolibrary.org/obo/NCBITaxon_29430,Acinetobacter haemolyticus,http://purl.obolibrary.org/obo/NCBITaxon_29430,,,,,,,,,,,,,,,,,G64924JR 
143,135609,Non-peptidic,alpha-D-Ko,,,,,http://purl.obolibrary.org/obo/CHEBI_59348,"D-glycero-alpha-D-talo-oct-2-ulopyranosonic acid, alpha-ketooctonic acid, Ko",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Bacteria,http://purl.obolibrary.org/obo/NCBITaxon_2,Bacteria,http://purl.obolibrary.org/obo/NCBITaxon_2,,,,,,,,,,,,,,,,,G84922UY 
144,135610,Non-peptidic,beta-D-GlcpNAc-(1->3)-alpha-L-Rhap-(1->3)-alpha-L-Rhap,,,,,http://purl.obolibrary.org/obo/CHEBI_59503,"2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-alpha-L-rhamnopyranose, 2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->3)-6-deoxy-alpha-L-mannopyranosyl-(1->3)-6-deoxy-alpha-L-mannopyranose, beta-D-GlcNAc-(1->3)-alpha-L-Rha-(1->3)-alpha-L-Rha, GlcNAcbeta1-3Rhaalpha1-3Rhaalpha, N-acetyl-beta-D-glucosaminyl-(1->3)-alpha-L-rhamnosyl-(1->3)-alpha-L-rhamnose",polysaccharide,http://purl.obolibrary.org/obo/CHEBI_18154,,,Streptococcus sp. 'group A',http://purl.obolibrary.org/obo/NCBITaxon_36470,Streptococcus sp. 'group A',http://purl.obolibrary.org/obo/NCBITaxon_36470,,,,,,,,,,,,,,,,,G60909NA 
145,135611,Non-peptidic,alpha-D-Galp-(1->2)-[alpha-D-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap-(1->3)-alpha-D-Galp-(1->2)-[alpha-D-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap-(1->3)-alpha-D-Galp-(1->2)-[alpha-D-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap,,,,,http://purl.obolibrary.org/obo/CHEBI_59581,"3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranose, 3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[3,6-dideoxy-alpha-D-xylo-hexopyranosyl-(1->3)-[alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-6-deoxy-alpha-L-mannopyranosyl-(1->3)-alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-6-deoxy-alpha-L-mannopyranosyl-(1->3)-alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-6-deoxy-alpha-L-mannopyranose, [(3)-alpha-D-Gal-(1->2)-[alpha-D-Abe-(1->3)]-alpha-D-Man-(1->4)-alpha-L-Rha-(1->)]3, [3)-alpha-D-Gal-(1->2)-[alpha-D-Abe-(1->3)]-alpha-D-Man-(1->4)alpha-L-Rha-(1->]3, [3)-alpha-D-Galp-(1->2)-[alpha-D-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap-(1->]3, [->3)-alpha-D-Gal-(1->2)-[alpha-D-Abe-(1->3)]-alpha-D-Man-(1->4)alpha-L-Rha-(1->]3, [->3)-alpha-D-Galp-(1->2)-[alpha-D-Abep-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap-(1->]3, alpha-D-abequopyranosyl-(1->3)-[alpha-D-abequopyranosyl-(1->3)-[alpha-D-abequopyranosyl-(1->3)-[alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-alpha-D-galactopyranosyl-(1->2)]-alpha-D-mannopyranosyl-(1->4)-alpha-L-rhamnopyranose, S. thymurium SH 4809 O-PS dodecasaccharide",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Salmonella,http://purl.obolibrary.org/obo/NCBITaxon_590,Salmonella,http://purl.obolibrary.org/obo/NCBITaxon_590,"The tetrasaccharide repeating unit is branched and has the structure: {->3)-alpha-D-Galp-(1->2)-[3,6-dideoxy-alpha-D-hexose-(1->3)]-alpha-D-Manp-(1->4)-alpha-L-Rhap(1->}.",,,,,,,,,,,,,,,,G00854PO 
146,135612,Non-peptidic,ATP,,,,,http://purl.obolibrary.org/obo/CHEBI_15422,"adenosine 5'-(tetrahydrogen triphosphate), Adenosine 5'-triphosphate, Adenosine triphosphate, ADENOSINE-5'-TRIPHOSPHATE, Adephos, Adetol, Adynol, Atipi, ATP, Atriphos, Cardenosine, Fosfobion, Glucobasin, H4atp, Myotriphos, Triadenyl, Triphosphaden",,,,,,,,,,,,,,,,,,,,,,,,,G79493II 
147,135614,Non-peptidic,(1->6)-beta-D-glucan,,,,,http://purl.obolibrary.org/obo/CHEBI_27380,"(1->6)-beta-D-glucopyranan, 1,6-beta-D-Glucan",,,,,Candida albicans,http://purl.obolibrary.org/obo/NCBITaxon_5476,Candida albicans,http://purl.obolibrary.org/obo/NCBITaxon_5476,The beta-(1-6)-glucan described here is found linked to the mannoproteins of the cell walls of C. albicans.,,,,,,,,,,,,,,,,G71142DF 
148,135806,Non-peptidic,alpha-L-Rhap-(1->2)-alpha-L-Rhap-(1->3)-[alpha-D-Glcp-(1->4)]-alpha-L-Rhap-(1->3)-beta-D-GlcpNAc-(1->2)-alpha-L-Rhap-(1->2)-alpha-L-Rhap-(1->3)-[alpha-D-Glcp-(1->4)]-alpha-L-Rhap-(1->3)-beta-D-GlcpNAc-(1->2)-alpha-L-Rhap-(1->2)-alpha-L-Rhap-(1->3)-[alpha-D-Glcp-(1->4)]-alpha-L-Rhap-(1->3)-beta-D-GlcpNAc,,,,,http://purl.obolibrary.org/obo/CHEBI_59379,"alpha-L-rhamnopyranosyl-(1->2)-alpha-L-rhamnopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-alpha-L-rhamnopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->2)-alpha-L-rhamnopyranosyl-(1->2)-alpha-L-rhamnopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-alpha-L-rhamnopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->2)-alpha-L-rhamnopyranosyl-(1->2)-alpha-L-rhamnopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-alpha-L-rhamnopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranose, 6-deoxy-alpha-L-mannopyranosyl-(1->2)-6-deoxy-alpha-L-mannopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-6-deoxy-alpha-L-mannopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->2)-6-deoxy-alpha-L-mannopyranosyl-(1->2)-6-deoxy-alpha-L-mannopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-6-deoxy-alpha-L-mannopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->2)-6-deoxy-alpha-L-mannopyranosyl-(1->2)-6-deoxy-alpha-L-mannopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-6-deoxy-alpha-L-mannopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranose, [AB(E)CD]3, [->2]-alpha-L-Rha-(1->2)-alpha-L-Rha-(1->3)-[alpha-D-Glc-(1->4)]-alpha-L-Rha-(1->3)-beta-D-GlcNAc-[1->]3, [->2][AB(E)CD]-[1->]3, alpha-L-Rha-(1->2)-alpha-L-Rha-(1->3)-[alpha-D-Glc-(1->4)]-alpha-L-Rha-(1->3)-beta-D-GlcNAc-(1->2)-alpha-L-Rha-(1->2)-alpha-L-Rha-(1->3)-[alpha-D-Glc-(1->4)]-alpha-L-Rha-(1->3)-beta-D-GlcNAc-(1->2)-alpha-L-Rha-(1->2)-alpha-L-Rha-(1->3)-[alpha-D-Glc-(1->4)]-alpha-L-Rha-(1->3)-beta-D-GlcNAc, alpha-L-rhamnosyl-(1->2)-alpha-L-rhamnosyl-(1->3)-[alpha-D-glucosyl-(1->4)]-alpha-L-rhamnosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucosyl-(1->2)-alpha-L-rhamnosyl-(1->2)-alpha-L-rhamnosyl-(1->3)-[alpha-D-glucosyl-(1->4)]-alpha-L-rhamnosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucosyl-(1->2)-alpha-L-rhamnosyl-(1->2)-alpha-L-rhamnosyl-(1->3)-[alpha-D-glucosyl-(1->4)]-alpha-L-rhamnosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucose, Rhaalpha1-2Rhaalpha1-3(Glcalpha1-4)Rhaalpha1-3GlcNAcbeta1-2Rhaalpha1-2Rhaalpha1-3(Glcalpha1-4)Rhaalpha1-3GlcNAcbeta1-2Rhaalpha1-2Rhaalpha1-3(Glcalpha1-4)Rhaalpha1-3GlcNAcbeta",,,,,Shigella flexneri 2a,http://purl.obolibrary.org/obo/NCBITaxon_42897,Shigella flexneri,http://purl.obolibrary.org/obo/NCBITaxon_623,,,,,,,,,,,,,,,,,G23661FE 
149,135807,Non-peptidic,alpha-L-Rhap-(1->3)-[alpha-D-Glcp-(1->4)]-alpha-L-Rhap-(1->3)-beta-D-GlcpNAc,,,,,http://purl.obolibrary.org/obo/CHEBI_59382,"alpha-L-rhamnopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-alpha-L-rhamnopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranose, 6-deoxy-alpha-L-mannopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-6-deoxy-alpha-L-mannopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranose, alpha-L-Rha-(1->3)-[alpha-D-Glc-(1->4)]-alpha-L-Rha-(1->3)-beta-D-GlcNAc, B(E)CD, Rhaalpha1-3(Glcalpha1-4)Rhaalpha1-3GlcNAcbeta",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Shigella flexneri 2a,http://purl.obolibrary.org/obo/NCBITaxon_42897,Shigella flexneri,http://purl.obolibrary.org/obo/NCBITaxon_623,,,,,,,,,,,,,,,,,G73227JE 
150,135808,Non-peptidic,alpha-L-Rhap-(1->3)-[alpha-D-Glcp-(1->4)]-alpha-L-Rhap-(1->3)-beta-D-GlcpNAc-(1->2)-alpha-L-Rhap,,,,,http://purl.obolibrary.org/obo/CHEBI_59384,"alpha-D-glucopyranosyl-(1->4)-[alpha-L-rhamnopyranosyl-(1->3)]-alpha-L-rhamnopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->2)-alpha-L-rhamnopyranose, 6-deoxy-alpha-L-mannopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-6-deoxy-alpha-L-mannopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->2)-6-deoxy-alpha-L-mannopyranose, alpha-D-Glc-(1->4)-[alpha-L-Rha-(1->3)]-alpha-L-Rha-(1->3)-beta-D-GlcNAc-(1->2)-alpha-L-Rha, alpha-D-glucosyl-(1->4)-[alpha-L-rhamnosyl-(1->3)]-alpha-L-rhamnosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-L-rhamnose, alpha-L-Rha-(1->3)-[alpha-D-Glc-(1->4)]-alpha-L-Rha-(1->3)-beta-D-GlcNAc-(1->2)-alpha-L-Rha, alpha-L-rhamnopyranosyl-(1->3)-[alpha-D-glucopyranosyl-(1->4)]-alpha-L-rhamnopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->2)-alpha-L-rhamnopyranose, alpha-L-rhamnosyl-(1->3)-[alpha-D-glucosyl-(1->4)]-alpha-L-rhamnosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-L-rhamnose, B(E)CDA, Glcalpha1-4(Rhaalpha1-3)Rhaalpha1-3GlcNAcbeta1-2Rhaalpha, Rhaalpha1-3(Glcalpha1-4)Rhaalpha1-3GlcNAcbeta1-2Rhaalpha",lipopolysaccharide,http://purl.obolibrary.org/obo/CHEBI_16412,,,Shigella flexneri 2a,http://purl.obolibrary.org/obo/NCBITaxon_42897,Shigella flexneri,http://purl.obolibrary.org/obo/NCBITaxon_623,,,,,,,,,,,,,,,,,G06754RS 
